method,dataset,M,nbits,bits_per_vector,train_size,nq,nb,nb_sample,dim,n_centroids,n_exports,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s_mean,adc_time_s_std,per_pair_adc_time_ns_mean,per_pair_adc_time_ns_std,rel_error_count,rel_error_mean,rel_error_mean_std_across_exports,rel_error_std,rel_error_min,rel_error_max
PQ,openai,128,6,768,1000000,1000,1000000.0,10000,1536,64,1,2286.439654,46.799695,0.146426,41.95843,3.968207225203514,0.0,396.8207225203514,0.0,10000000,0.2763149331312383,0.0,0.0377606464192411,0.0001090804798877,6.314518928527832
PQ,openai,128,8,1024,1000000,1000,1000000.0,10000,1536,256,1,1110.514104,97.174167,0.310208,29.316307,0.7565164193511009,0.0,75.65164193511009,0.0,10000000,0.2225587173673757,0.0,0.0364870190006946,0.0001121386521845,5.07804012298584
PQ,openai,256,4,1024,1000000,1000,1000000.0,10000,1536,16,1,2098.060165,20.81253,0.029369,27.649857,8.315990209579468,0.0,831.5990209579468,0.0,10000000,0.2408545045361453,0.0,0.038438004001592,8.020879818104731e-07,5.444579124450684
PQ,openai,128,10,1280,1000000,1000,1000000.0,10000,1536,1024,1,990.514513,301.486751,0.753768,23.448798,5.566265448927879,0.0,556.6265448927879,0.0,10000000,0.1777859594795721,0.0,0.0346915897083346,3.897619171766564e-05,3.680916786193848
PQ,openai,128,12,1536,1000000,1000,1000000.0,10000,1536,4096,1,1368.748279,1204.044849,5.532362,43.018779,12.489179715514185,0.0,1248.9179715514183,0.0,10000000,0.1399689567067688,0.0,0.0313190991593286,9.827728717937134e-06,2.721922874450684
PQ,openai,256,6,1536,1000000,1000,1000000.0,10000,1536,64,1,3293.195712,46.479327,0.129881,29.720962,9.448279164731504,0.0,944.8279164731504,0.0,10000000,0.1582539890217322,0.0,0.0348380824356958,5.363967375160428e-06,3.781639337539673
PQ,openai,256,8,2048,1000000,1000,1000000.0,10000,1536,256,1,2342.503155,171.51091,0.21119,44.431005,1.851764351129532,0.0,185.1764351129532,0.0,10000000,0.1035680796721909,0.0,0.0278656720832231,7.997531383807654e-07,2.3665738105773926
PQ,openai,512,4,2048,1000000,1000,1000000.0,10000,1536,16,1,3406.783538,20.754199,0.052226,21.844993,14.682828299701214,0.0,1468.2828299701214,0.0,10000000,0.11371437152528,0.0,0.0306485026686332,6.913777497175033e-07,2.852832794189453
PQ,openai,256,10,2560,1000000,1000,1000000.0,10000,1536,1024,1,1686.934645,318.903416,0.975984,22.111786,13.787443056702614,0.0,1378.7443056702614,0.0,10000000,0.0671536616627764,0.0,0.0209514110201088,1.1752002393450313e-07,1.4992998838424685
PQ,openai,256,12,3072,1000000,1000,1000000.0,10000,1536,4096,1,2299.421414,1290.221825,3.082025,19.939996,29.81251110136509,0.0,2981.251110136509,0.0,10000000,0.044303974690853,0.0,0.0155155027028974,2.9403491907942225e-07,0.8021274209022522
