method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq1_nbits12_train1000000_20260208_231824,1000,1000000,10000,96,1,12,12,1000000,18.07772,10.149521,0.498676,2.537972,0.20463,0.220066,0.096106,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq2_nbits12_train1000000_20260208_231852,1000,1000000,10000,96,2,12,24,1000000,34.372868,21.716885,1.316718,2.372765,0.627538,0.20487,0.087215,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq3_nbits12_train1000000_20260208_231903,1000,1000000,10000,96,3,12,36,1000000,38.904736,26.71921,1.214067,2.921283,0.522745,0.189152,0.081457,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq4_nbits12_train1000000_20260208_231918,1000,1000000,10000,96,4,12,48,1000000,49.760313,31.416684,1.583898,1.884189,0.759112,0.173897,0.076636,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq6_nbits12_train1000000_20260208_231955,1000,1000000,10000,96,6,12,72,1000000,71.912028,43.579641,2.599995,2.36263,1.731403,0.143836,0.068513,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq8_nbits12_train1000000_20260208_232225,1000,1000000,10000,96,8,12,96,1000000,95.124379,169.927254,0.732977,3.21189,3.365034,0.115705,0.06123,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq16_nbits12_train1000000_20260208_232331,1000,1000000,10000,96,16,12,192,1000000,161.001122,168.969593,0.891034,2.713904,5.407847,0.04763,0.033424,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq12_nbits12_train1000000_20260208_232339,1000,1000000,10000,96,12,12,144,1000000,132.376629,205.612072,0.659906,3.069077,4.984137,0.073788,0.046649,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq24_nbits12_train1000000_20260208_232526,1000,1000000,10000,96,24,12,288,1000000,266.619768,179.895242,0.694818,2.089274,4.820813,0.022793,0.017282,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq32_nbits12_train1000000_20260208_232535,1000,1000000,10000,96,32,12,384,1000000,301.076273,156.983912,0.449095,0.905551,3.212268,0.012293,0.009613,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq48_nbits12_train1000000_20260208_232725,1000,1000000,10000,96,48,12,576,1000000,467.276036,100.4555,0.538191,0.87038,4.037486,0.004191,0.003678,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq96_nbits12_train1000000_20260208_233104,1000,1000000,10000,96,96,12,1152,1000000,658.704065,124.135687,0.782593,0.802761,7.277336,0.000437,0.001022,,
