method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq1_nbits12_train500000_20260209_100930,1000,1000000,10000,960,1,12,12,500000,85.395467,74.295939,3.527993,69.948251,0.565119,0.270105,0.141862,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq3_nbits10_train500000_20260209_100947,1000,1000000,10000,960,3,10,30,500000,112.339448,56.41089,2.543722,78.219555,2.033038,0.257889,0.124948,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq3_nbits8_train500000_20260209_101011,1000,1000000,10000,960,3,8,24,500000,160.418738,63.363293,1.643683,50.591444,0.29897,0.276762,0.132255,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq1_nbits10_train500000_20260209_101035,1000,1000000,10000,960,1,10,10,500000,135.648043,85.269592,1.557085,76.666054,0.55763,0.286834,0.146441,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq5_nbits8_train500000_20260209_101145,1000,1000000,10000,960,5,8,40,500000,227.518246,62.583529,4.5334,74.015776,0.513155,0.269034,0.125641,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq5_nbits6_train500000_20260209_101149,1000,1000000,10000,960,5,6,30,500000,256.858976,36.953738,3.545185,75.98596,1.780541,0.292545,0.133696,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq5_nbits10_train500000_20260209_101212,1000,1000000,10000,960,5,10,50,500000,255.137598,63.958082,4.592679,70.133898,2.444713,0.249079,0.118202,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq8_nbits8_train500000_20260209_101245,1000,1000000,10000,960,8,8,64,500000,312.690107,52.631723,5.773449,58.124389,0.590386,0.25619,0.119487,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq8_nbits6_train500000_20260209_101247,1000,1000000,10000,960,8,6,48,500000,309.688977,55.911515,4.419362,60.031403,1.016427,0.281541,0.128517,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq5_nbits12_train500000_20260209_101319,1000,1000000,10000,960,5,12,60,500000,257.462412,136.46399,5.501972,61.933688,2.494762,0.231337,0.11257,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq20_nbits8_train500000_20260209_101326,1000,1000000,10000,960,20,8,160,500000,340.720273,66.836957,11.669949,48.838561,1.438101,0.206557,0.099959,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq20_nbits4_train500000_20260209_101331,1000,1000000,10000,960,20,4,80,500000,369.905188,53.081008,5.413823,45.508731,3.037878,0.274195,0.123753,,
PQ,gist,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/gist/subq20_nbits6_train500000_20260209_101337,1000,1000000,10000,960,20,6,120,500000,363.467388,65.356118,5.477151,45.241503,3.579014,0.235975,0.111773,,
