method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits10_train1000000_20260209_211154,1000,1000000,10000,1536,32,10,320,1000000,387.945372,71.965901,8.856498,32.611024,3.086818,0.329093,0.039232,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq64_nbits10_train1000000_20260209_211612,1000,1000000,10000,1536,64,10,640,1000000,593.773849,119.199757,15.603152,28.950177,4.917197,0.276229,0.03629,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq128_nbits10_train1000000_20260209_212534,1000,1000000,10000,1536,128,10,1280,1000000,990.514513,301.486751,0.753768,23.448798,8.49706,0.177786,0.034692,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq256_nbits10_train1000000_20260209_213737,1000,1000000,10000,1536,256,10,2560,1000000,1686.934645,318.903416,0.975984,22.111786,16.671329,0.067154,0.020951,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq512_nbits10_train1000000_20260209_215942,1000,1000000,10000,1536,512,10,5120,1000000,2950.997949,366.738314,1.354576,19.965729,34.542144,0.011825,0.00612,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq768_nbits10_train1000000_20260209_221602,1000,1000000,10000,1536,768,10,7680,1000000,3899.342643,385.033565,1.773926,19.262273,47.675205,0.003655,0.002402,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1536_nbits10_train1000000_20260209_225325,1000,1000000,10000,1536,1536,10,15360,1000000,6010.705069,487.735969,2.861585,17.931607,77.607167,0.000509,0.000527,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1_nbits12_train1000000_20260209_225806,1000,1000000,10000,1536,1,12,12,1000000,209.33941,20.310479,0.479057,26.118753,0.202251,0.337785,0.054842,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq4_nbits12_train1000000_20260209_225916,1000,1000000,10000,1536,4,12,48,1000000,253.708307,35.343089,1.126108,34.677637,0.363967,0.335069,0.050219,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq8_nbits12_train1000000_20260209_230003,1000,1000000,10000,1536,8,12,96,1000000,290.759758,54.599627,2.320417,24.975341,0.739897,0.331249,0.047842,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq16_nbits12_train1000000_20260209_230208,1000,1000000,10000,1536,16,12,192,1000000,374.735224,92.218809,4.699813,25.276742,1.753837,0.322367,0.044433,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits12_train1000000_20260209_230624,1000,1000000,10000,1536,32,12,384,1000000,562.164129,156.356894,7.791129,24.490288,3.566811,0.299325,0.039074,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq128_nbits12_train1000000_20260209_233808,1000,1000000,10000,1536,128,12,1536,1000000,1368.748279,1204.044849,5.532362,43.018779,35.711743,0.139969,0.031319,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq256_nbits12_train1000000_20260209_235428,1000,1000000,10000,1536,256,12,3072,1000000,2299.421414,1290.221825,3.082025,19.939996,25.341595,0.044304,0.015516,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq512_nbits12_train1000000_20260210_002919,1000,1000000,10000,1536,512,12,6144,1000000,4335.634296,1322.399113,4.781935,19.449159,47.05236,0.007029,0.003965,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq768_nbits12_train1000000_20260210_005829,1000,1000000,10000,1536,768,12,9216,1000000,5972.870419,1379.928416,6.379674,18.771606,101.007058,0.001707,0.001292,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq1536_nbits12_train1000000_20260210_020422,1000,1000000,10000,1536,1536,12,18432,1000000,9434.444962,1752.284714,10.75967,17.83088,216.713596,0.00021,0.000253,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq64_nbits12_train1000000_20260210_083844,1000,1000000,10000,1536,64,12,768,1000000,296.943778,169.007843,7.580477,17.981,3.909886,0.241214,0.035427,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq16_nbits6_train1000000_20260210_093600,1000,1000000,10000,1536,16,6,96,1000000,155.032954,18.030287,2.510474,31.979345,1.6734,0.411901,0.04179,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits6_train1000000_20260210_093800,1000,1000000,10000,1536,32,6,192,1000000,277.364874,26.145761,2.521459,22.278586,1.512505,0.393073,0.039512,,
PQ,openai,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/openai/subq32_nbits12_train1000000_20260210_093913,1000,1000000,10000,1536,32,12,384,1000000,310.876564,99.124282,4.135345,17.879126,1.748947,0.299325,0.039074,,
