zip_path,dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,train_size,val_size,has_codes,has_distance_file,distance_relerr_mean,distance_relerr_std,val_mse_best,train_mse_last,best_min_mse,status
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_64.zip,openai,256,64,0,1536.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0344373,0.0208317,0.0761514,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_1024.zip,openai,2,1024,0,20.0,32,64,16.0,384.0,384.0,,,True,False,,,0.209641,0.201416,0.294367,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_16.zip,openai,2,16,0,8.0,16,16,16.0,384.0,384.0,,,True,False,,,0.267131,0.266789,0.244639,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_256.zip,openai,2,256,0,16.0,32,64,16.0,384.0,384.0,,,True,False,,,0.223732,0.22062,0.222935,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_4096.zip,openai,2,4096,0,24.0,32,64,16.0,384.0,384.0,,,True,False,,,0.204584,0.185303,0.305553,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_64.zip,openai,2,64,0,12.0,32,64,16.0,384.0,384.0,,,True,False,,,0.245367,0.24436,0.220931,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_1024.zip,openai,32,1024,0,320.0,32,64,16.0,384.0,384.0,,,True,False,,,0.11383,0.0682302,0.663707,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_16.zip,openai,32,16,0,128.0,16,16,16.0,384.0,384.0,,,True,False,,,0.174518,0.171322,0.111972,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_256.zip,openai,32,256,0,256.0,32,64,16.0,384.0,384.0,,,True,False,,,0.120969,0.0991853,0.220539,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_4096.zip,openai,32,4096,0,384.0,32,64,16.0,384.0,384.0,,,True,False,,,0.112619,0.0267803,1.64866,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_64.zip,openai,32,64,0,192.0,32,64,16.0,384.0,384.0,,,True,False,,,0.141529,0.132425,0.0935115,codes_only
